Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2016-02-16,7201.25,7204.65,7037.7,7048.25,261607451.0,7638.39
2016-02-15,7057.35,7182.8,7056.8,7162.95,365217073.0,10204.34
2016-02-12,7023.65,7034.8,6869.0,6980.95,344210729.0,11062.63
2016-02-11,7203.6,7208.65,6959.95,6976.35,301302956.0,9250.27
2016-02-10,7264.3,7271.85,7177.75,7215.7,254481339.0,8129.65
2016-02-09,7303.95,7323.45,7275.15,7298.2,218730280.0,7415.13
2016-02-08,7489.7,7512.55,7363.2,7387.25,176758985.0,5746.45
2016-02-05,7418.25,7503.15,7406.65,7489.1,257518899.0,8628.24
2016-02-04,7411.45,7457.05,7365.95,7404.0,229563364.0,7465.35
2016-02-03,7392.45,7419.4,7350.3,7361.8,197863301.0,6748.17
2016-02-02,7566.65,7576.3,7428.05,7455.55,237338907.0,8030.99
2016-02-01,7589.5,7600.45,7541.25,7555.95,206645021.0,8209.5
2016-01-29,7413.35,7575.65,7402.8,7563.55,307934042.0,11277.33
2016-01-28,7426.5,7468.85,7409.6,7424.65,283036298.0,10049.88
2016-01-27,7469.6,7477.9,7419.7,7437.75,193389891.0,6834.77
2016-01-25,7468.75,7487.15,7421.2,7436.15,168202502.0,5910.99
2016-01-22,7355.7,7433.4,7327.6,7422.45,236282061.0,7666.39
2016-01-21,7376.65,7398.7,7250.0,7276.8,248113284.0,9401.16
2016-01-20,7357.0,7470.9,7241.5,7309.3,232614141.0,8794.16
2016-01-19,7381.8,7462.75,7364.15,7435.1,194068339.0,7038.84
2016-01-18,7420.35,7463.65,7336.4,7351.0,240798183.0,8431.56
2016-01-15,7561.65,7566.5,7427.3,7437.8,203643071.0,8279.07
2016-01-14,7467.4,7604.8,7443.8,7536.8,,
2016-01-13,7557.9,7590.95,7425.8,7562.4,221908258.0,9585.17
2016-01-12,7587.2,7588.3,7487.8,7510.3,168975973.0,7071.48
2016-01-11,7527.45,7605.1,7494.35,7563.85,194836791.0,7327.15
2016-01-08,7611.65,7634.1,7581.05,7601.35,,
2016-01-07,7673.35,7674.95,7556.6,7568.3,194732861.0,7803.21
2016-01-06,7788.05,7800.95,7721.2,7741.0,151715828.0,6722.17
2016-01-05,7828.4,7831.2,7763.25,7784.65,149672973.0,5948.51
2016-01-04,7924.55,7937.55,7781.1,7791.3,138864905.0,5897.08
2016-01-01,7938.45,7972.55,7909.8,7963.2,64843836.0,2613.91
2015-12-31,7897.8,7955.55,7891.15,7946.35,155645098.0,6780.85
2015-12-30,7938.6,7944.75,7889.85,7896.25,110145855.0,4392.87
2015-12-29,7929.2,7942.15,7902.75,7928.95,116535971.0,4950.36
2015-12-28,7863.2,7937.2,7863.0,7925.15,126737811.0,5755.48
2015-12-24,7888.75,7888.75,7835.5,7861.05,96374245.0,3383.99
2015-12-23,7830.45,7871.45,7826.1,7865.95,121480721.0,4663.45
2015-12-22,7829.4,7846.3,7776.85,7786.1,129633328.0,5028.11
2015-12-21,7745.65,7840.75,7733.45,7834.45,130174102.0,5558.38
2015-12-18,7828.9,7836.15,7753.35,7761.95,197319843.0,8074.5
2015-12-17,7783.05,7852.9,7737.55,7844.35,181256780.0,7367.15
2015-12-16,7725.25,7776.6,7715.75,7750.9,159149338.0,6703.76
2015-12-15,7659.15,7705.0,7625.1,7700.9,138479057.0,6152.14
